trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.36759509200763,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",35,25,-37.827427737003745,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9801}",25,0,-13.251993823987727,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.970299}",25,0,-357.9677484014362,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 7}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-93.97156231775351,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",35,0,-212.89070096400062,"{0: 17, 1: 8, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-48.05539883365855,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-67.77789103990439,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",30,0,-130.72766030807676,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,8,-90.68362922012093,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-130.05392567667317,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-129.64661514254288,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-144.0673341751089,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-63.50443739783225,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-92.98033359473642,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-164.1468808224272,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-2.9777052652782534,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-67.84892029730935,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,2,-3.6463022230349864,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",30,19,-9.169092717552303,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,4,-166.7253476891283,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 3}",1
22,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-107.96126908758144,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-77.34806451930223,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-43.562984548216626,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-16.819459431562354,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-160.40678597509327,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,9,-42.24875015028198,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-11.105426743850522,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-54.92025248743882,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,7,-2.718100343787929,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-39.79153614081714,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,7,10.317780872968589,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7249803359578535}",20,0,-87.15630404070082,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,3,-6.956223097753303,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-80.42993499788633,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-127.20561519670112,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,0,-191.18805797394072,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.6894490858690778}",20,0,-48.844680869134024,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-106.47388813616791,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-102.49336915523756,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,3,-32.40125114695676,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-29.14138557703888,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-62.2648283961793,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,6,-54.380952411750066,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,19,5.244213323798018,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,0,-110.00869007568664,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-18.923607056454156,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-36.30560549807991,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.617290140942288}",30,0,-60.964013639020884,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.611117239532865}",20,9,-3.381941809787687,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,0,-45.480396538590625,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.598956006466161}",30,13,-14.23108316504553,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-99.47781280487959,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5870367819374844}",30,0,-90.43302073363232,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,5,-28.869834028585874,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,0,-112.86989490804262,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-84.72615523707908,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,0,-8.699774500548394,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-28.46304473323183,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-95.11218243889431,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,3,-31.11955255592044,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,6,-68.29666661594686,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.536268225207185}",35,23,24.986242363377983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-74.21728457130139,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
