trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.24392854301306,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-143.11726981085403,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-72.8767290405672,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-207.67561811087214,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-80.48361146699165,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.05917077445635,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-6.208205130923632,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-42.47449545363003,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-87.43508419052424,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-166.80742035627802,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-116.41172095972192,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,9,8.178707571597048,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-66.74696318646862,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,10.933771374193343,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,10.735803465941094,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,8.245639693886227,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-27.25664877282967,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,10.727337152394261,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,5.717877308216314,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-17.341338845657464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,24.693744535005468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,9,30.082877776166463,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,-32.05323736386001,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,14,18.998880028241334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.151949380088618,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,17.666168636820665,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-24.42652138273559,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,4,47.00465664583884,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-6.772743103680299,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-2.245966443640211,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
